1,1,393,168,31,65,00:00:46,2
2,0,169,117,34,80,00:01:08,2
3,1,340,168,37,62,00:02:19,2
4,0,297,138,57,108,00:02:42,2
5,1,372,168,36,64,00:03:24,2
6,0,311,137,58,95,00:03:33,2
7,1,310,166,53,69,00:03:33,2
8,0,164,139,38,66,00:04:40,2
9,1,343,180,34,52,00:05:20,2
10,0,245,134,33,58,00:07:48,2
11,1,374,170,41,65,00:08:31,2
12,0,311,136,57,110,00:08:37,2
13,1,311,147,55,127,00:08:38,2
14,0,312,138,50,101,00:08:47,2
15,1,312,148,55,108,00:08:47,2
16,0,311,138,61,102,00:08:48,2
17,1,311,148,56,113,00:08:50,2
18,0,311,168,39,60,00:09:14,2
19,1,311,167,51,58,00:09:15,2
20,0,246,139,37,66,00:09:21,2
21,1,362,165,29,59,00:09:54,2
22,0,162,135,34,58,00:11:27,2
23,1,314,152,48,121,00:12:04,2
24,0,170,126,35,79,00:13:26,2
25,1,339,150,48,110,00:14:14,2
26,0,313,138,65,105,00:14:25,2
27,1,314,147,58,98,00:14:26,2
28,0,313,137,62,100,00:14:28,2
29,1,315,139,56,108,00:14:29,2
30,0,162,134,35,63,00:20:09,2
31,1,324,148,53,108,00:20:53,2
32,0,314,137,74,104,00:21:11,2
33,1,315,148,57,114,00:21:17,2
34,0,314,137,71,107,00:21:18,2
35,1,316,150,51,134,00:21:21,2
36,0,314,137,67,119,00:21:53,2
37,1,315,152,50,106,00:21:57,2
38,0,311,138,57,94,00:22:02,2
39,1,309,148,59,108,00:22:03,2
40,0,166,137,38,64,00:22:18,2
41,1,372,171,37,67,00:23:04,2
42,0,314,138,65,115,00:24:00,2
43,1,311,150,52,128,00:24:01,2
44,0,297,137,55,113,00:24:03,2
45,1,297,137,55,111,00:24:03,2
46,0,219,134,35,62,00:24:06,2
47,1,340,168,49,106,00:24:46,2
48,0,297,137,56,118,00:25:59,2
49,1,394,170,31,59,00:28:04,2
50,0,164,139,35,57,00:29:06,2
51,1,364,172,29,57,00:29:41,2
52,0,166,139,41,63,00:31:13,2
53,1,360,163,34,51,00:32:51,2
54,0,312,137,57,113,00:33:49,2
55,1,361,181,33,50,00:34:13,2
56,0,365,180,34,59,00:34:13,2
57,1,362,181,34,53,00:34:26,2
58,0,262,151,53,84,00:35:38,2
59,1,363,186,35,54,00:37:30,2
60,0,263,153,43,64,00:38:03,2
61,1,365,180,35,54,00:38:40,2
62,0,244,154,36,62,00:40:12,2
63,1,370,188,34,59,00:40:29,2
64,0,374,185,33,62,00:40:30,2
65,1,407,170,18,72,00:40:38,2
66,0,232,149,40,68,00:42:44,2
67,1,329,199,43,57,00:44:21,2
68,0,245,150,41,60,00:45:12,2
69,1,278,166,39,61,00:47:39,2
70,0,252,153,39,63,00:47:40,2
71,1,340,198,35,59,00:48:22,2
72,0,252,151,38,63,00:50:01,2
73,1,347,187,39,55,00:52:22,2
74,0,219,116,39,64,00:52:49,2
75,1,340,198,36,62,00:54:29,2
76,0,243,139,40,61,00:55:25,2
77,1,294,165,43,66,00:57:24,2
78,0,244,135,41,67,00:57:26,2
79,1,227,118,40,65,00:57:27,2
80,0,200,107,38,66,00:57:35,2
81,1,362,186,28,64,00:58:16,2
82,0,248,157,45,58,00:59:42,2
83,1,406,169,22,67,01:36:49,2
84,0,236,152,35,68,01:37:03,2
